OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area,Shape__Length
11,11001000801,2913351,168211,Census Tract 8.01,District of Columbia,District of Columbia,6007,465,812,336,0,17,0,17,78,103,592,243,127,106,15,25,0,17,5195,365,341,187,423,156,343,123,2566,281,1159,214,290,123,73,55,13.5,5.49472672613914,78,106,6.6,8.7958430839323,1185,293,4821359.88671875,14470.7362441906
12,11001000802,1713200,669752,Census Tract 8.02,District of Columbia,District of Columbia,3567,318,370,118,0,12,28,43,0,12,322,104,20,25,0,12,0,12,3197,311,190,88,218,84,261,96,1978,207,289,111,178,87,83,60,10.4,3.17622155087065,28,46,4,6.53333117218697,697,162,3164973.97265625,16702.4270601298
13,11001000901,2952810,75151,Census Tract 9.01,District of Columbia,District of Columbia,4321,301,225,110,0,17,22,29,28,44,161,73,14,20,0,17,0,17,4096,279,298,76,314,99,466,106,1613,179,960,160,240,84,205,90,5.2,2.51973271479092,50,55,4.4,4.82826114859241,1128,173,5011918.2578125,9122.53554920987
14,11001000902,1867106,307257,Census Tract 9.02,District of Columbia,District of Columbia,2564,199,55,29,0,12,0,12,4,7,37,27,14,18,0,12,0,12,2509,203,164,44,279,72,345,111,1148,109,432,76,96,36,45,36,2.1,1.11872494156357,4,18,0.5,2.27094796854753,792,141,3154927.34375,20593.6486260367
15,11001001001,2454382,0,Census Tract 10.01,District of Columbia,District of Columbia,7551,445,358,154,0,17,0,17,0,17,357,154,0,17,0,17,1,2,7193,401,688,176,679,175,561,149,3370,292,1295,236,374,155,226,120,4.7,2.02023519511339,0,29,0,1.50414937759336,1928,291,4063753.6953125,8381.00439634663
16,11001001002,889721,0,Census Tract 10.02,District of Columbia,District of Columbia,3519,461,727,228,0,12,0,12,0,12,727,228,0,12,0,12,0,12,2792,435,157,66,172,132,113,119,1984,297,190,77,157,75,19,32,20.7,5.88677728285003,0,21,0,4.75113122171946,442,191,1472692.0390625,5087.14354344476
17,11001001100,1676650,0,Census Tract 11,District of Columbia,District of Columbia,5048,302,230,125,0,17,0,17,0,17,91,66,122,86,0,17,17,44,4818,294,395,186,395,133,258,104,2578,280,801,177,328,124,63,52,4.6,2.46117971088831,0,29,0,2.76717557251908,1048,253,2776699.51171875,7342.14475380027
18,11001001200,1218245,0,Census Tract 12,District of Columbia,District of Columbia,5247,487,223,99,0,17,0,17,0,17,181,93,42,40,0,17,0,17,5024,460,442,164,408,144,231,98,3125,349,569,141,182,75,67,52,4.3,1.84509642458426,0,29,0,2.68270120259019,1081,241,2016913.484375,6317.87741797721
19,11001001301,2855962,26550,Census Tract 13.01,District of Columbia,District of Columbia,4041,442,179,100,0,12,0,12,0,12,160,98,0,12,19,30,0,12,3862,446,241,165,231,162,223,155,2400,278,618,129,112,71,37,41,4.4,2.42674142893937,0,21,0,3.02158273381295,695,279,4727255.97265625,11516.0830886886
20,11001001302,1593505,14706,Census Tract 13.02,District of Columbia,District of Columbia,7623,747,777,304,0,17,0,17,0,17,589,284,122,118,66,96,0,17,6846,788,137,135,148,169,43,66,4846,773,995,239,533,189,144,122,10.2,3.86082149632154,0,29,0,8.84146341463415,328,228,2636889.80078125,8147.36443596191
21,11001001401,788095,0,Census Tract 14.01,District of Columbia,District of Columbia,3548,249,171,92,13,20,0,12,9,14,113,72,22,22,1,2,13,21,3377,270,302,110,315,90,216,93,1756,187,564,111,165,86,59,40,4.8,2.57085464388122,22,27,2.6,3.11518202016182,855,172,1305453.03125,5190.47012930597
22,11001001402,895209,0,Census Tract 14.02,District of Columbia,District of Columbia,3392,276,220,120,0,12,0,12,0,12,114,104,35,26,25,30,46,59,3172,329,425,147,134,50,157,77,1605,242,417,115,277,104,157,80,6.5,3.49815170473125,0,21,0,2.93296089385475,716,175,1482693.4453125,6265.03862556119
23,11001001500,4686643,12091,Census Tract 15,District of Columbia,District of Columbia,5996,301,165,142,0,17,34,54,31,49,80,78,0,17,20,34,0,17,5831,316,391,144,679,150,771,205,2403,207,1103,184,241,106,243,117,2.8,2.36421306025396,65,75,3.4,3.89791277208197,1906,301,7777366.1640625,16233.8897034593
24,11001001600,2665663,35624,Census Tract 16,District of Columbia,District of Columbia,4649,332,120,68,0,12,0,12,9,14,62,47,15,17,34,39,0,12,4529,335,332,104,322,91,501,195,2212,214,746,167,296,92,120,57,2.6,1.45101860841236,9,22,0.8,1.88329885524197,1164,240,4419441.21484375,14644.7831100156
25,11001001702,939292,0,Census Tract 17.02,District of Columbia,District of Columbia,3311,346,163,84,0,12,0,12,0,12,119,69,19,19,25,28,0,12,3148,340,267,120,132,64,115,52,1962,245,515,122,124,58,33,28,4.9,2.48429000425909,0,21,0,4.08560311284047,514,147,1556190.421875,6252.85691655732
26,11001001803,1136289,31934,Census Tract 18.03,District of Columbia,District of Columbia,4328,480,979,353,169,97,100,65,46,44,513,206,86,74,43,51,22,24,3349,543,500,177,322,119,146,81,1890,373,312,117,118,59,61,58,22.6,7.76079093664389,315,125,24.6,8.37657826419827,1283,260,1882736.171875,8557.65035419445
27,11001001804,601755,0,Census Tract 18.04,District of Columbia,District of Columbia,5860,570,1419,626,279,198,172,156,48,76,635,249,221,159,33,40,31,36,4441,484,613,280,398,182,229,162,2571,324,408,158,98,74,124,105,24.2,10.4196914585971,499,263,28.7,13.1284892939258,1739,455,996833.94921875,4392.95727757238
28,11001001901,769306,0,Census Tract 19.01,District of Columbia,District of Columbia,4315,487,479,246,0,12,60,61,96,127,169,84,99,69,47,44,8,12,3836,475,397,163,285,116,146,59,2367,276,400,113,188,69,53,32,11.1,5.56167504239153,156,141,15.9,13.7420396423756,984,252,1274313.40625,4676.24009974069
29,11001001902,877350,0,Census Tract 19.02,District of Columbia,District of Columbia,2602,245,247,202,34,51,29,37,42,38,105,84,5,9,32,26,0,12,2355,227,155,43,99,42,99,47,1448,157,338,88,121,47,95,36,9.5,7.71163293600545,105,74,22.9,15.2611283647628,458,106,1453243.828125,5138.57067207347
30,11001002001,632723,1107,Census Tract 20.01,District of Columbia,District of Columbia,3502,404,453,144,9,14,58,44,63,46,216,80,88,62,19,19,0,12,3049,440,353,129,169,77,191,89,1680,291,469,129,166,97,21,15,12.9,3.83159881683703,130,65,15.4,6.91921459098484,843,186,1047951.15234375,5383.76979282423
31,11001002002,849376,0,Census Tract 20.02,District of Columbia,District of Columbia,4242,746,390,225,48,59,29,45,30,46,220,124,56,53,7,11,0,12,3852,715,264,132,250,137,310,149,2393,428,469,114,91,68,75,57,9.2,5.05167142499728,107,87,11.5,8.78974497681508,931,257,1406459.3046875,5636.11100590479
32,11001002101,600992,0,Census Tract 21.01,District of Columbia,District of Columbia,5050,673,612,332,0,17,39,56,91,93,412,257,2,4,50,63,18,31,4438,585,407,251,171,117,134,118,2589,379,939,276,48,44,150,117,12.1,6.37279382437997,130,110,15.4,11.6722521644598,842,320,995264.33984375,4105.78624726881
33,11001002102,725975,0,Census Tract 21.02,District of Columbia,District of Columbia,5161,502,861,272,30,42,56,43,19,24,495,185,139,76,71,60,51,42,4300,557,242,102,198,100,384,205,2664,333,478,118,176,84,158,79,16.7,5.01426548339723,105,65,11.3,6.25316743047826,929,258,1202238.9609375,4565.57079006118
34,11001002201,415173,0,Census Tract 22.01,District of Columbia,District of Columbia,3169,423,243,147,0,12,0,12,0,12,142,107,62,57,0,12,39,40,2926,419,190,109,155,79,103,65,1865,365,408,113,152,101,53,42,7.7,4.52435613065887,0,21,0,4.6875,448,151,687410.68359375,3314.36910077298
35,11001002202,693961,566,Census Tract 22.02,District of Columbia,District of Columbia,3476,408,321,177,0,12,12,20,0,12,152,107,122,96,28,35,7,13,3155,412,414,110,246,116,142,109,1967,310,289,109,68,41,29,28,9.2,4.97535377876329,12,26,1.5,3.1745197732763,814,195,1149932.8203125,4296.87950269616
36,11001002301,412613,0,Census Tract 23.01,District of Columbia,District of Columbia,3588,427,232,138,17,26,0,12,23,38,166,91,11,17,15,19,0,12,3356,452,257,81,192,74,190,104,2183,386,391,115,66,46,77,49,6.5,3.7683899352055,40,48,5.9,6.93503721256711,679,158,683046.296875,3688.34878906727
37,11001002302,2010229,5298,Census Tract 23.02,District of Columbia,District of Columbia,1442,191,264,99,10,17,0,12,0,12,119,67,29,27,45,40,61,46,1178,193,55,46,31,19,26,23,739,164,128,81,119,57,80,54,18.3,6.42293657143957,10,24,8.2,19.2546715557039,122,60,3335728.08984375,7562.48440833315
38,11001002400,556235,0,Census Tract 24,District of Columbia,District of Columbia,4158,428,378,132,0,12,0,12,11,17,298,122,59,46,0,12,10,16,3780,413,248,101,148,92,121,92,2668,297,399,120,121,71,75,46,9.1,3.03355401826806,11,24,2.1,4.49801606989548,528,166,920776.640625,4191.97618480791
39,11001002501,543460,0,Census Tract 25.01,District of Columbia,District of Columbia,3284,370,455,200,0,12,64,67,4,11,198,122,112,74,77,60,0,12,2829,403,321,143,201,89,135,63,1719,362,315,84,67,41,71,48,13.9,5.88667707054772,68,69,9.4,9.18388196650263,725,193,899709.9453125,3995.76821099085
40,11001002502,603735,0,Census Tract 25.02,District of Columbia,District of Columbia,6437,528,935,466,88,143,30,51,0,17,543,262,209,126,13,22,52,78,5502,541,510,218,237,131,86,65,3638,389,680,176,305,138,46,55,14.5,7.14067935222183,118,153,12.4,15.5917321924582,951,304,999337.71875,4161.41138723917
41,11001002600,2112431,62623,Census Tract 26,District of Columbia,District of Columbia,2583,230,159,82,31,34,8,12,0,12,96,57,16,20,8,14,0,12,2424,213,219,70,135,59,58,34,1382,139,435,80,93,40,102,41,6.2,3.12692646083861,39,38,8.6,8.18165840659817,451,105,3500170.4140625,13576.9243743587
42,11001002701,452924,0,Census Tract 27.01,District of Columbia,District of Columbia,6015,685,936,600,300,344,114,130,0,17,397,220,51,46,74,86,0,17,5079,768,453,205,168,127,228,218,3732,556,467,148,31,39,0,17,15.6,9.81638579716734,414,368,32.8,26.2026088482994,1263,491,749604.06640625,4358.52046509498
43,11001002702,486440,7801,Census Tract 27.02,District of Columbia,District of Columbia,6254,591,695,261,66,103,0,17,18,29,489,218,122,78,0,17,0,17,5559,631,408,141,202,102,175,103,4332,607,416,121,0,17,26,33,11.1,4.03903876130321,84,108,9.7,12.1642318928774,869,229,804951.703125,4658.91824053941
44,11001002801,171910,0,Census Tract 28.01,District of Columbia,District of Columbia,4114,429,943,304,175,109,195,90,70,62,445,132,19,22,35,45,4,8,3171,392,153,89,107,67,80,63,2512,348,282,99,21,20,16,22,22.9,6.99214160410409,440,154,56.4,13.3603824458972,780,201,284523.47265625,2221.07076744405
45,11001002802,229695,0,Census Tract 28.02,District of Columbia,District of Columbia,5143,453,1097,458,89,82,202,143,138,151,388,186,160,100,59,48,61,58,4046,528,237,142,200,148,63,67,3265,442,229,92,52,45,0,17,21.3,8.70487030430326,429,224,46.2,18.5040543389911,929,311,380102.59765625,2705.92837101211
46,11001002900,300632,0,Census Tract 29,District of Columbia,District of Columbia,4387,376,465,225,43,66,65,65,60,68,261,112,10,15,0,12,26,33,3922,380,244,118,187,115,135,80,3054,289,268,100,34,26,0,12,10.6,5.04769098844081,168,115,22.9,14.1458728932105,734,216,497551.78125,2987.90209555263
47,11001003000,210638,0,Census Tract 30,District of Columbia,District of Columbia,3708,524,828,351,119,135,32,35,194,98,421,181,9,21,53,51,0,12,2880,459,131,90,73,46,71,59,2328,356,208,71,35,28,34,40,22.3,8.92455611860551,345,170,55.6,20.1660022270738,620,207,348559.69140625,2415.29800286589
48,11001003100,296909,0,Census Tract 31,District of Columbia,District of Columbia,3409,342,301,147,34,39,48,61,0,12,173,67,39,38,7,12,0,12,3108,421,97,59,165,115,93,70,2431,316,212,90,47,30,63,50,8.8,4.22015206855598,82,73,18.8,15.1479713246716,437,164,491347.421875,3342.48544633119
49,11001003200,445441,0,Census Tract 32,District of Columbia,District of Columbia,5452,557,837,386,23,36,88,63,75,78,535,313,86,70,10,15,20,22,4615,613,173,102,186,103,135,88,3586,438,365,125,102,54,68,63,15.4,6.90405449911494,186,107,27.4,13.5232294346528,680,200,737177.328125,3942.73318606786
50,11001003301,442120,0,Census Tract 33.01,District of Columbia,District of Columbia,4219,472,287,144,5,9,0,12,0,12,237,138,43,63,2,4,0,12,3932,509,174,91,170,107,136,77,2974,398,291,112,101,77,86,74,6.8,3.32720436461178,5,19,1,3.90254915037932,485,161,731439.7734375,4252.14861688326
51,11001003302,204237,0,Census Tract 33.02,District of Columbia,District of Columbia,2300,227,243,114,0,12,0,12,0,12,188,107,36,33,6,8,13,13,2057,205,158,65,46,35,18,25,1674,180,147,59,3,4,11,15,10.6,4.84559582652393,0,21,0,9.45945945945946,222,81,337824.3359375,2464.85592053074
52,11001003400,917526,159593,Census Tract 34,District of Columbia,District of Columbia,2814,428,458,196,75,91,0,12,41,45,271,128,39,36,32,38,0,12,2356,391,128,99,74,62,113,86,1726,317,240,110,75,66,0,12,16.3,6.51042265685253,116,102,26.9,20.9262428303377,431,177,1782029.9921875,6180.46671843602
53,11001003500,382021,0,Census Tract 35,District of Columbia,District of Columbia,2721,400,527,347,104,166,71,103,12,19,221,102,74,43,33,26,12,19,2194,310,64,54,110,87,35,23,1705,229,254,90,14,15,12,14,19.4,12.430771063417,187,196,47.2,41.7444483437586,396,223,632047.9765625,3840.2831970163
54,11001003600,305616,0,Census Tract 36,District of Columbia,District of Columbia,4893,528,927,412,0,12,55,78,56,79,481,231,225,169,110,101,0,12,3966,519,314,175,56,61,0,12,3408,369,162,93,26,42,0,12,18.9,8.16823816864764,111,112,23.1,20.8277223381908,481,217,505654.2734375,2951.05111629594
55,11001003700,292372,0,Census Tract 37,District of Columbia,District of Columbia,5435,813,1478,769,108,169,390,245,294,320,582,292,83,68,0,17,21,39,3957,570,44,60,0,17,95,145,3442,521,274,156,102,56,0,17,27.2,13.5516673515724,792,437,85.1,19.9477997320287,931,465,483729.546875,2959.74121078069
56,11001003800,356114,0,Census Tract 38,District of Columbia,District of Columbia,5140,533,397,224,0,17,45,75,0,17,227,167,107,89,18,28,0,17,4743,510,206,114,286,120,38,53,3564,406,612,234,37,56,0,17,7.7,4.28374611266593,45,79,7.8,13.4909477404134,575,191,589169.50390625,3485.49606892466
57,11001003900,379810,10579,Census Tract 39,District of Columbia,District of Columbia,4556,349,202,82,0,12,0,12,0,12,168,84,34,34,0,12,0,12,4354,351,166,61,43,42,12,18,3513,341,518,140,86,60,16,26,4.4,1.76748906549164,0,21,0,9.50226244343891,221,79,628648.796875,4298.67855161558
58,11001004001,271211,2414,Census Tract 40.01,District of Columbia,District of Columbia,4764,657,130,78,0,12,0,12,0,12,116,71,14,21,0,12,0,12,4634,665,167,88,137,72,109,50,3502,688,514,152,127,67,78,74,2.7,1.5934436210585,0,21,0,5.08474576271186,413,126,448740.21484375,3008.33397015039
59,11001004002,194755,0,Census Tract 40.02,District of Columbia,District of Columbia,3025,251,110,49,0,12,0,12,0,12,86,39,24,28,0,12,0,12,2915,253,79,44,15,18,67,50,2402,241,210,70,108,58,34,27,3.6,1.59148505793744,0,21,0,13.0434782608696,161,72,322181.1875,2727.63466095514
60,11001004100,788960,23020,Census Tract 41,District of Columbia,District of Columbia,2541,218,115,71,0,12,0,12,9,15,96,65,0,12,10,15,0,12,2426,202,165,54,39,31,28,27,1385,162,693,155,103,47,13,21,4.5,2.76706622583,9,23,3.7,9.47813008363061,241,72,1305244.79296875,6629.37753905675
61,11001004201,204529,0,Census Tract 42.01,District of Columbia,District of Columbia,3692,396,79,65,0,12,0,12,0,12,57,57,8,15,14,23,0,12,3613,407,252,135,0,12,15,25,3064,383,177,96,105,54,0,12,2.1,1.74553981215113,0,21,0,7.86516853932584,267,139,338330.86328125,2370.51311003423
62,11001004202,207646,0,Census Tract 42.02,District of Columbia,District of Columbia,2327,207,119,47,0,12,0,12,0,12,110,47,8,13,1,5,0,12,2208,203,54,49,13,20,0,12,1593,170,468,110,67,62,13,17,5.1,1.96787203059018,0,21,0,31.3432835820896,67,58,343461.81640625,2697.82919285117
63,11001004300,236694,0,Census Tract 43,District of Columbia,District of Columbia,4076,305,252,162,0,12,0,12,44,80,93,56,98,102,0,12,17,29,3824,381,211,81,57,37,76,66,3024,304,317,118,139,100,0,12,6.2,3.94746811997919,44,82,11.3,20.7455714640511,388,138,391545.59375,2631.66434981255
64,11001004400,521639,0,Census Tract 44,District of Columbia,District of Columbia,5734,533,425,177,0,17,0,17,19,32,252,111,50,41,0,17,104,87,5309,533,306,135,86,91,0,17,4446,457,358,145,103,82,10,19,7.4,3.00898064776903,19,40,4.6,9.5449177925428,411,169,862920.62890625,3786.44679300705
65,11001004600,437422,0,Census Tract 46,District of Columbia,District of Columbia,3031,296,428,248,0,12,70,107,57,65,193,108,62,54,34,41,12,18,2603,296,80,46,26,27,22,31,1957,243,377,144,114,63,27,28,14.1,8.06507418329564,127,126,49.8,41.1565890693599,255,140,723450.875,3728.27702065802
66,11001004701,324656,0,Census Tract 47.01,District of Columbia,District of Columbia,4630,484,1244,538,120,159,0,12,81,80,931,413,93,90,19,28,0,12,3386,408,280,183,256,176,150,164,2243,301,220,128,216,93,21,27,26.9,11.2753115514868,201,178,22.7,17.9527154199558,887,351,536861.86328125,3752.13632822022
67,11001004702,326351,0,Census Tract 47.02,District of Columbia,District of Columbia,3077,199,363,120,0,12,5,8,7,10,271,100,48,51,14,22,18,29,2714,168,77,41,43,24,67,49,2372,147,115,48,34,34,6,9,11.8,3.82454228469224,12,18,6,8.79299733494821,199,70,539618.328125,3777.09123265689
68,11001004801,317222,0,Census Tract 48.01,District of Columbia,District of Columbia,2891,241,185,66,0,12,0,12,0,12,71,45,84,42,22,21,8,12,2706,246,184,105,40,42,112,76,2078,218,239,105,35,29,18,19,6.4,2.2197477193923,0,21,0,6.25,336,138,524679.76953125,3151.88798578281
69,11001004802,286769,0,Census Tract 48.02,District of Columbia,District of Columbia,3777,348,701,396,90,107,80,57,35,49,305,258,121,81,43,39,27,42,3076,368,20,34,70,59,131,65,2482,296,276,87,77,53,20,23,18.6,10.3441183790244,205,131,48.1,24.7965424932141,426,161,474240.890625,2817.51520354695
70,11001004901,271866,0,Census Tract 49.01,District of Columbia,District of Columbia,3115,346,407,185,38,63,48,40,0,12,288,119,33,28,0,12,0,12,2708,366,136,75,95,84,33,33,2084,275,302,100,42,43,16,25,13.1,5.75895247090352,86,76,24.6,19.3625769915862,350,140,449661.18359375,2718.39599416494
71,11001004902,263878,0,Census Tract 49.02,District of Columbia,District of Columbia,3256,410,607,306,0,12,66,70,104,114,326,152,63,56,48,47,0,12,2649,415,165,99,68,58,41,41,2193,296,172,69,10,16,0,12,18.6,9.10012863279687,170,134,38.3,25.830554948324,444,181,436381.0859375,2640.07963264348
72,11001005001,204439,0,Census Tract 50.01,District of Columbia,District of Columbia,2062,231,221,98,0,12,0,12,0,12,200,103,13,31,8,11,0,12,1841,233,149,55,0,12,0,12,1573,203,70,40,31,30,18,17,10.7,4.59850154049906,0,21,0,14.0939597315436,149,61,338137.8203125,2736.38713038145
73,11001005002,233823,0,Census Tract 50.02,District of Columbia,District of Columbia,5860,612,635,191,0,17,0,17,0,17,391,155,222,114,0,17,22,29,5225,630,340,239,212,137,98,79,4156,495,368,130,39,45,12,19,10.8,3.05660895221563,0,29,0,4.46153846153846,650,288,386694.28515625,2904.23320720805
74,11001005201,339712,0,Census Tract 52.01,District of Columbia,District of Columbia,6285,546,427,159,0,17,0,17,0,17,353,150,74,58,0,17,0,17,5858,596,141,115,94,114,26,43,5043,637,474,136,80,108,0,17,6.8,2.46002060951029,0,29,0,11.1111111111111,261,170,561858.34765625,3426.07746278379
75,11001005301,286399,0,Census Tract 53.01,District of Columbia,District of Columbia,5016,281,538,190,0,17,0,17,0,17,506,180,32,38,0,17,0,17,4478,295,172,135,88,73,23,36,3624,296,430,136,90,48,51,47,10.7,3.73991879086515,0,29,0,10.2473498233216,283,160,473686.70703125,2987.54097834318
76,11001005500,629389,9350,Census Tract 55,District of Columbia,District of Columbia,6655,604,1123,324,0,17,0,17,0,17,1042,314,78,93,2,4,1,5,5532,650,210,176,60,117,32,60,4286,544,638,199,202,140,104,94,16.9,4.62135859426207,0,29,0,9.60264900662252,302,222,1040958.078125,6034.78109294425
77,11001005600,457260,7186,Census Tract 56,District of Columbia,District of Columbia,4848,400,1168,268,0,17,0,17,0,17,988,243,69,66,111,106,0,17,3680,436,89,76,0,17,54,67,2276,346,665,196,449,133,147,121,24.1,5.15828744342808,0,29,0,20.2797202797203,143,107,756078.25390625,4656.36961329341
78,11001005800,914536,0,Census Tract 58,District of Columbia,District of Columbia,3395,276,479,212,0,12,0,12,0,12,308,128,130,89,0,12,41,54,2916,218,107,61,24,29,34,29,2294,203,381,113,76,47,0,12,14.1,6.13823071727198,0,21,0,12.7272727272727,165,76,1512042.34765625,5330.76158547683
79,11001005900,642060,0,Census Tract 59,District of Columbia,District of Columbia,2194,199,585,147,0,12,0,12,0,12,447,146,119,58,19,25,0,12,1609,215,19,18,22,34,0,12,1453,202,95,53,20,32,0,12,26.7,6.24838853519374,0,21,0,51.219512195122,41,45,1061500.94921875,4353.22963261432
80,11001006202,6539769,4970897,Census Tract 62.02,District of Columbia,District of Columbia,60,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,89,0,12,0,12,0,12,60,89,0,12,0,12,0,12,0,20,0,21,,,0,29,10900149.796875,47557.7877851186
81,11001006400,688025,246481,Census Tract 64,District of Columbia,District of Columbia,2569,306,898,264,92,81,116,82,70,59,477,169,89,68,45,39,9,15,1671,295,118,81,17,29,35,41,1136,258,273,106,72,47,20,27,35,9.39511654482156,278,129,62.1,18.2159012257039,448,161,1136564.88671875,5127.77108306326
82,11001006500,504907,0,Census Tract 65,District of Columbia,District of Columbia,2750,331,329,139,0,12,0,12,21,32,298,129,10,15,0,12,0,12,2421,353,196,106,120,63,34,26,1653,296,329,91,69,43,20,32,12,4.84508697904753,21,36,5.7,9.49543459185787,371,131,834463.21875,4369.20970260649
83,11001006600,287216,0,Census Tract 66,District of Columbia,District of Columbia,2050,208,76,70,0,12,0,12,0,12,38,52,20,39,18,30,0,12,1974,208,86,58,132,53,30,29,1238,161,265,106,223,69,0,12,3.7,3.39385212223018,0,21,0,8.46774193548387,248,86,474737.01953125,3409.98195541117
84,11001006700,428358,0,Census Tract 67,District of Columbia,District of Columbia,4341,309,146,73,0,12,0,12,0,12,101,53,15,17,0,12,30,45,4195,313,293,110,229,75,84,54,2767,281,580,117,175,83,67,48,3.4,1.664511732578,0,21,0,3.46534653465347,606,145,708028.2109375,3882.24660037625
85,11001006801,244750,0,Census Tract 68.01,District of Columbia,District of Columbia,2345,202,263,101,0,12,0,12,0,12,228,88,20,19,0,12,15,17,2082,181,223,63,84,50,25,29,1480,156,177,76,80,40,13,16,11.2,4.19728660628165,0,21,0,6.32530120481928,332,88,404542.84375,2648.22444354599
86,11001006802,280108,0,Census Tract 68.02,District of Columbia,District of Columbia,2578,178,121,50,0,12,4,7,0,12,92,46,15,16,10,16,0,12,2457,168,239,80,191,75,57,44,1693,119,161,64,70,39,46,25,4.7,1.91222171673452,4,18,0.8,3.66057704696649,491,120,462925.6953125,3235.14941817323
87,11001006804,1542277,477741,Census Tract 68.04,District of Columbia,District of Columbia,261,203,118,155,0,12,0,12,0,12,96,117,22,40,0,12,0,12,143,113,12,12,32,45,16,23,70,51,9,19,0,12,4,5,45.2,47.8572121337479,0,21,0,35,60,56,2548976.43359375,13856.2384733622
88,11001006900,398513,0,Census Tract 69,District of Columbia,District of Columbia,2582,250,121,68,0,12,0,12,0,12,68,56,53,43,0,12,0,12,2461,258,300,108,171,89,87,61,1634,153,227,93,0,12,42,35,4.7,2.59423492183325,0,21,0,3.76344086021505,558,154,658622.65625,3633.89990466157
89,11001007000,423352,0,Census Tract 70,District of Columbia,District of Columbia,2344,279,55,41,0,12,0,12,0,12,45,39,0,12,10,16,0,12,2289,279,249,102,53,30,61,58,1550,217,324,90,35,29,17,21,2.3,1.72670576756662,0,21,0,5.78512396694215,363,123,699627.2734375,3750.00028412346
90,11001007100,602224,149901,Census Tract 71,District of Columbia,District of Columbia,3279,382,1245,609,166,111,150,151,130,93,753,404,32,31,14,16,0,12,2034,509,183,121,140,142,99,132,1419,255,131,72,32,20,30,28,38,18.0383095201049,446,209,51.4,15.5888225448552,868,310,995310.4609375,4606.81541190707
91,11001007200,1368067,312418,Census Tract 72,District of Columbia,District of Columbia,5729,471,414,220,0,17,0,17,29,42,227,135,96,55,19,21,43,58,5315,521,307,175,142,111,0,17,4541,361,249,105,53,57,23,25,7.2,3.7938761930278,29,48,6.1,9.67108123122312,478,213,2260520.6328125,7159.62029561102
92,11001007301,4684477,5139019,Census Tract 73.01,District of Columbia,District of Columbia,4180,330,226,172,58,66,47,43,21,21,100,69,0,12,0,12,0,12,3954,342,1106,213,345,106,196,111,2215,184,92,67,0,12,0,12,5.4,4.09263368330844,126,82,7.1,4.49165739224272,1773,275,7737764.35546875,23771.9930662877
93,11001007304,1240632,11466,Census Tract 73.04,District of Columbia,District of Columbia,3723,549,1264,494,149,137,203,126,250,185,559,247,82,64,12,18,9,15,2459,359,289,148,205,99,61,59,1481,252,320,96,75,51,28,33,34,12.2881222454266,602,262,52,17.3722287209164,1157,323,2066868.390625,7099.84814149675
94,11001007401,1203298,200980,Census Tract 74.01,District of Columbia,District of Columbia,1876,231,1314,225,135,75,203,75,122,60,750,148,84,40,9,16,11,15,562,165,42,40,73,45,61,52,213,83,124,50,37,25,12,10,70,8.33437865849984,460,122,72.3,9.60686846278093,636,146,1987567.68359375,7667.76760483253
95,11001007403,330203,0,Census Tract 74.03,District of Columbia,District of Columbia,2790,388,1009,342,55,61,169,112,62,51,667,237,41,41,15,23,0,12,1781,435,88,128,39,37,171,112,1310,321,173,65,0,12,0,12,36.2,11.1787959296621,286,137,49,14.2742301041111,584,222,545192.171875,4102.46778397389
96,11001007404,820443,0,Census Tract 74.04,District of Columbia,District of Columbia,3947,602,1060,471,172,138,269,164,178,114,359,178,73,52,9,14,0,12,2887,588,299,179,268,189,290,132,1644,327,361,138,18,21,7,11,26.9,11.2080934062113,619,243,41.9,12.4285822057946,1476,380,1354688.01953125,6411.03170478225
97,11001007406,360152,0,Census Tract 74.06,District of Columbia,District of Columbia,3468,567,1863,584,449,214,251,151,203,126,904,293,32,39,24,27,0,12,1605,385,210,109,95,82,258,176,915,242,106,59,0,12,21,19,53.7,14.3678621354642,903,291,61.6,12.5513257048111,1466,366,594754.12109375,3303.18825383339
98,11001007407,604673,0,Census Tract 74.07,District of Columbia,District of Columbia,3143,310,690,268,132,95,63,67,71,79,303,128,91,60,30,36,0,12,2453,350,254,124,168,77,246,128,1452,226,292,118,31,29,10,15,22,8.24737297042325,266,141,28.5,13.2039878820888,934,240,998609.296875,6011.0336876586
99,11001007408,376376,0,Census Tract 74.08,District of Columbia,District of Columbia,2756,433,1663,447,315,151,333,152,290,146,605,199,94,59,26,29,0,12,1093,270,57,65,12,18,39,38,663,224,234,76,88,71,0,12,60.3,13.1599830647734,938,259,89.7,8.56305598983456,1046,271,621494.88671875,5008.03700949006
