OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area,Shape__Length
134,11001008904,449343,0,Census Tract 89.04,District of Columbia,District of Columbia,4065,504,987,322,141,141,50,51,40,38,593,179,126,64,19,32,18,26,3078,497,308,163,188,106,169,90,2022,372,325,109,58,37,8,12,24.3,7.32694047430757,231,155,25.8,15.54206949921,896,264,742986.13671875,4034.662894889
135,11001009000,1427115,31550,Census Tract 90,District of Columbia,District of Columbia,3680,284,516,153,0,12,0,12,37,47,83,59,271,117,108,69,17,27,3164,310,499,199,129,70,93,62,1367,213,782,169,260,121,34,29,14,4.01431720902146,37,50,4.9,6.43520557712068,758,225,2395429.98046875,6971.5888529153
136,11001009102,1815597,0,Census Tract 91.02,District of Columbia,District of Columbia,4811,517,1312,347,124,99,101,61,162,112,772,231,117,75,36,36,0,12,3499,506,311,189,87,52,307,131,2174,312,484,118,53,43,83,48,27.3,6.59043551301037,387,161,35.4,11.4552092790088,1092,286,3003570.75,8137.96582195081
137,11001009201,633995,0,Census Tract 92.01,District of Columbia,District of Columbia,2723,367,643,230,0,12,22,26,4,7,558,198,39,42,5,12,15,26,2080,257,301,91,90,55,75,80,1345,162,199,75,42,24,28,33,23.6,7.82403690312607,26,29,5.3,5.71043140780229,492,136,1049122.3046875,4301.01813379505
138,11001009203,581087,0,Census Tract 92.03,District of Columbia,District of Columbia,2985,325,511,277,13,22,44,56,98,106,278,130,60,45,12,23,6,11,2474,330,124,95,188,149,50,45,1629,214,333,115,90,50,60,49,17.1,9.09062236255244,155,122,30,19.8888695173191,517,219,961387.66796875,4435.25857998742
139,11001009204,308466,0,Census Tract 92.04,District of Columbia,District of Columbia,2765,356,810,269,101,98,46,55,79,59,374,148,139,73,62,52,9,14,1955,387,202,106,147,133,178,113,1054,261,234,101,105,62,35,35,29.3,8.96785378485564,226,127,30,13.8906257251637,753,240,510366.16015625,3273.44578966409
140,11001009301,1104952,0,Census Tract 93.01,District of Columbia,District of Columbia,3450,325,401,163,8,14,0,12,0,12,245,108,98,90,50,43,0,12,3049,350,248,127,113,44,135,68,1849,246,429,124,160,126,115,68,11.6,4.59601043413464,8,22,1.6,4.33875034968935,504,152,1828543.4453125,5896.3861070095
141,11001009302,391905,0,Census Tract 93.02,District of Columbia,District of Columbia,1427,197,241,109,0,12,20,22,19,22,144,96,13,11,38,32,7,9,1186,207,72,52,60,49,50,38,782,124,144,83,42,36,36,34,16.9,7.27387785180877,39,33,17.6,13.1754059089699,221,88,648450.94921875,3520.53695027146
142,11001009400,1582882,0,Census Tract 94,District of Columbia,District of Columbia,4797,499,344,192,0,12,0,12,9,15,165,153,91,65,31,27,48,39,4453,510,536,212,284,143,247,72,2483,294,522,117,275,110,106,61,7.2,3.93237233301926,9,23,0.8,2.12744603092655,1076,267,2619909.5,7071.35706406817
143,11001009501,1589556,0,Census Tract 95.01,District of Columbia,District of Columbia,5104,564,648,205,41,63,15,24,38,45,431,138,81,70,42,55,0,17,4456,553,629,256,431,156,264,133,2695,332,337,96,100,48,0,17,12.7,3.76347564522656,94,81,6.6,5.48937476156981,1418,338,2631322.54296875,8045.82638192325
144,11001009503,1423608,0,Census Tract 95.03,District of Columbia,District of Columbia,3179,325,214,165,0,12,0,12,0,12,157,157,27,34,30,34,0,12,2965,310,179,99,161,97,243,102,1539,250,483,110,211,86,149,69,6.7,5.14448348302434,0,21,0,3.60205831903945,583,173,2356722.015625,7013.53644891213
145,11001009504,1031803,0,Census Tract 95.04,District of Columbia,District of Columbia,3189,407,399,200,0,12,0,12,25,38,184,121,95,60,70,73,25,24,2790,366,255,108,126,93,49,49,1693,230,443,116,128,73,96,70,12.5,6.06486476698912,25,42,5.5,9.03649729749058,455,156,1707988.63671875,5446.08092127576
146,11001009505,1032228,0,Census Tract 95.05,District of Columbia,District of Columbia,3457,336,287,123,0,12,0,12,40,35,184,98,28,28,8,13,27,41,3170,379,140,76,221,108,155,98,1882,279,317,91,263,88,192,91,8.3,3.46529305327047,40,39,7.2,6.66481919118988,556,169,1709690.90625,5908.07521062468
147,11001009507,295290,0,Census Tract 95.07,District of Columbia,District of Columbia,2005,306,400,214,122,112,32,41,16,20,164,98,29,28,37,25,0,12,1605,358,113,101,121,87,68,54,975,225,153,43,114,44,61,34,20,10.2298163836182,170,121,36,21.2457891405572,472,188,489046.8984375,3201.83373481948
148,11001009508,933192,0,Census Tract 95.08,District of Columbia,District of Columbia,3584,474,424,204,0,12,0,12,0,12,223,142,110,84,39,51,52,50,3160,458,145,124,174,120,230,124,1757,338,554,129,135,66,165,74,11.8,5.47269854494595,0,21,0,3.82513661202186,549,214,1545311.94140625,7486.20828836829
149,11001009509,648849,0,Census Tract 95.09,District of Columbia,District of Columbia,3246,374,145,67,0,12,0,12,0,12,39,38,26,22,62,46,18,20,3101,393,314,170,164,81,209,119,1586,298,523,179,198,83,107,53,4.5,1.99887959151546,0,21,0,3.05676855895196,687,224,1074314.11328125,4315.3504449682
150,11001009601,1905262,179134,Census Tract 96.01,District of Columbia,District of Columbia,2478,313,898,339,96,82,79,98,105,100,530,209,64,50,14,16,10,13,1580,344,87,78,103,92,112,77,960,243,231,65,63,49,24,17,36.2,12.8918767303079,280,162,48.1,21.3536957306764,582,216,3154348.8125,13426.0454981692
151,11001009602,1306698,77605,Census Tract 96.02,District of Columbia,District of Columbia,3705,570,1437,436,263,201,156,96,137,182,702,303,169,72,10,17,0,12,2268,570,247,172,181,158,133,91,1473,398,196,83,38,30,0,12,38.8,10.1428830925741,556,288,49.8,19.3650263185736,1117,382,1762906.48828125,8258.56232603578
152,11001009603,607400,0,Census Tract 96.03,District of Columbia,District of Columbia,4030,553,643,251,26,34,48,77,56,45,402,152,52,36,39,40,20,32,3387,591,393,228,119,97,159,110,2175,375,360,110,73,40,108,73,16,5.83078701764837,130,95,16.2,10.3367251142409,801,287,1004074.82421875,4905.97218441563
153,11001009604,503381,65762,Census Tract 96.04,District of Columbia,District of Columbia,2329,259,227,109,0,12,0,12,0,12,130,78,97,64,0,12,0,12,2102,252,211,143,81,36,74,43,1099,196,465,78,87,34,85,70,9.7,4.55287821163962,0,21,0,5.73770491803279,366,155,832137.9609375,3877.51107260012
154,11001009700,403051,6711,Census Tract 97,District of Columbia,District of Columbia,3313,532,876,304,165,152,159,121,25,37,395,122,88,67,44,44,0,12,2437,494,204,110,247,174,204,135,1328,303,297,99,157,88,0,12,26.4,8.13452911471883,349,198,34.8,16.4080314389944,1004,316,676275.671875,4351.24168949148
